GEOID,Median_Rent
1400000US06013308001,2280
1400000US06013308002,2668
1400000US06013309000,1338
1400000US06013310000,1455
1400000US06013311000,1514
1400000US06013312000,1134
1400000US06013313102,1958
1400000US06013313104,1804
1400000US06013313105,1732
1400000US06013313106,2155
1400000US06013313107,2192
1400000US06013313203,2165
1400000US06013313204,1877
1400000US06013313205,1819
1400000US06013313206,1724
1400000US06013314102,1801
1400000US06013314103,1608
1400000US06013314105,1618
1400000US06013314106,1142
1400000US06013314200,1531
1400000US06013315000,2162
1400000US06013316000,1094
1400000US06013317000,1782
1400000US06013318000,1421
1400000US06013319001,1907
1400000US06013319002,1781
1400000US06013320001,1898
1400000US06013320003,2909
1400000US06013320004,2096
1400000US06013321101,2306
1400000US06013321102,2611
1400000US06013321103,1826
1400000US06013321200,1852
1400000US06013322000,2391
1400000US06013323000,2649
1400000US06013324002,2029
1400000US06013324003,2348
1400000US06013324004,1621
1400000US06013325000,1883
1400000US06013326000,2881
1400000US06013327001,1470
1400000US06013327002,1806
1400000US06013328000,1646
1400000US06013329000,2021
1400000US06013330000,2479
1400000US06013331000,1761
1400000US06013332000,1989
1400000US06013333101,2076
1400000US06013333102,1852
1400000US06013333200,1916
1400000US06013334001,1670
1400000US06013334006,2786
1400000US06013334007,1624
1400000US06013334008,2032
1400000US06013334200,2716
1400000US06013335000,2102
1400000US06013336101,1716
1400000US06013336103,1678
1400000US06013336104,1433
1400000US06013336201,1877
1400000US06013336202,1567
1400000US06013337100,2233
1400000US06013337201,1531
1400000US06013337202,1725
1400000US06013337300,2445
1400000US06013338101,2035
1400000US06013338102,2492
1400000US06013338201,3479
1400000US06013338203,2422
1400000US06013338204,2888
1400000US06013338301,3033
1400000US06013338302,2444
1400000US06013339001,2068
1400000US06013339003,2162
1400000US06013339004,2644
1400000US06013340001,1801
1400000US06013340003,2573
1400000US06013340004,2345
1400000US06013341000,2188
1400000US06013343001,2068
1400000US06013343002,2195
1400000US06013343003,2078
1400000US06013345101,2239
1400000US06013345102,2750
1400000US06013345103,1724
1400000US06013345105,2854
1400000US06013345111,2461
1400000US06013345112,2450
1400000US06013345113,3500
1400000US06013345114,2750
1400000US06013345115,2829
1400000US06013345116,3500
1400000US06013345117,2264
1400000US06013345118,2514
1400000US06013345203,2321
1400000US06013345204,1686
1400000US06013345205,2478
1400000US06013345206,2650
1400000US06013346101,3500
1400000US06013346102,2539
1400000US06013346203,2489
1400000US06013346204,3500
1400000US06013346205,-
1400000US06013346206,1869
1400000US06013347000,2826
1400000US06013348000,3235
1400000US06013349000,2087
1400000US06013350000,2284
1400000US06013351101,1125
1400000US06013351103,-
1400000US06013351104,-
1400000US06013351105,1250
1400000US06013351200,3500
1400000US06013352101,3500
1400000US06013352102,2538
1400000US06013352201,2229
1400000US06013352202,2150
1400000US06013353001,3500
1400000US06013353002,3500
1400000US06013354001,1817
1400000US06013354002,-
1400000US06013355107,2139
1400000US06013355109,2318
1400000US06013355110,2625
1400000US06013355111,2513
1400000US06013355112,3500
1400000US06013355113,3500
1400000US06013355115,2264
1400000US06013355118,2276
1400000US06013355119,2847
1400000US06013355120,2694
1400000US06013355121,3196
1400000US06013355122,2456
1400000US06013355123,3444
1400000US06013355124,3500
1400000US06013355125,1706
1400000US06013355126,1731
1400000US06013355201,2260
1400000US06013355202,2251
1400000US06013355302,2773
1400000US06013355306,2705
1400000US06013355307,1540
1400000US06013355308,3500
1400000US06013355309,2520
1400000US06013355310,2368
1400000US06013356001,2233
1400000US06013356002,2304
1400000US06013357000,1441
1400000US06013358000,1372
1400000US06013359102,1885
1400000US06013359103,1574
1400000US06013359104,2033
1400000US06013359105,2879
1400000US06013359202,2445
1400000US06013359203,2876
1400000US06013359204,2628
1400000US06013360101,3039
1400000US06013360102,1967
1400000US06013360200,1779
1400000US06013361000,1699
